Cluster,P-001,P-002,P-004,P-005,P-006,Total
(Unclustered),0,1,0,0,5,6
App Security,2,0,0,0,0,2
Backend Updates,6,0,0,0,0,6
Communication Style,0,0,0,0,2,2
Consent Enforcement,4,0,1,0,2,7
Consent Module Updates,0,0,0,0,1,1
Consent-Based Communication,0,0,0,1,5,6
Data Sharing Control,0,1,0,0,2,3
Feature Explanation,0,2,0,0,0,2
Manage care time across clients,0,0,0,0,1,1
Notification Control,1,2,1,1,12,17
Online Meetings,1,1,0,0,1,3
Reminder Control,0,1,0,0,3,4
Shared Device Privacy,0,0,0,0,3,3
Silent Mode,0,0,1,0,0,1
Social Nudges Control,0,1,0,0,3,4
Voice Activation Control,1,1,0,0,0,2
Total,15,10,3,2,40,70
