Type,Number of Use case,Distribution Percentage
Total,15,100%
Notification Preferences & Behavioral Nudging,2,13%
Emotional Layering in Care Scenarios,2,13%
Health Data Sharing & Monitoring Boundaries,1,7%
Communication Style & Interpersonal Boundaries,1,7%
User Autonomy vs. System Control,1,7%
Trust & Privacy Negotiation,1,7%
Simulation & Gamified Therapy,1,7%
Sensor Usage & Wearable Compliance,1,7%
Data Governance & Consent Enforcement,1,7%
Marketplace Discovery,1,7%
Developer Tools / Integration,1,7%
Onboarding & Initial Setup,1,7%
Check-in and Availability Negotiation,1,7%
