ID,Personas,User Group(s),Old User Stories,New User Stories,Agreed by human (the team),Notes
FCWI-001,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to access patient health data without their permission to make fast clinical decisions during my busy work.,
As an informal caregiver, I want to choose when to log data for each client myself, so I can protect their privacy the way they want.","
As a registered nurse, I want to access patient health data quickly with proper consent, so I can make fast clinical decisions.,
As an informal caregiver, I want to control when health data is logged, so I can protect privacy according to user wishes.",NOT AGREED,The original is not a conflict
FCWI-002,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to access patient health data without their permission to make fast clinical decisions during my busy work.,
As an informal caregiver, I want to receive urgent alerts only when clients agree, so I respect their privacy and help them properly.","
As a registered nurse, I want to access patient health data quickly with consent or in emergencies, so I can make fast clinical decisions.,
As an informal caregiver, I want to receive urgent alerts only with client consent or in emergencies, so I respect their privacy and help properly.",NOT AGREED,The original is not a conflict
NFCAT-012,"P-001,
P-005","Developers and App Creators,
Older Adults","
As a developer, I want to update ALFRED’s consent module remotely without asking users, so I can keep control and make sure privacy rules are followed.,
As an older adult, I want to block all data sharing with everyone, including doctors and family, to keep my privacy fully safe.","
As a developer, I want to update the consent module remotely only after user consent, so I can keep privacy rules updated and respected.,
As an older adult, I want to block all data sharing unless I give consent, so my privacy is fully protected.",AGREED,
NFCAT-013,"P-001,
P-005","Developers and App Creators,
Older Adults","
As a developer, I want ALFRED to enforce consent policies automatically to keep caregiver workflows secure without asking users.,
As an older adult, I want to block all data sharing with everyone, including doctors and family, to keep my privacy fully safe.","
As a developer, I want ALFRED to enforce consent policies automatically while respecting user choices, so caregiver workflows are secure.,
As an older adult, I want to control data sharing and block it unless I consent, so my privacy is protected.",NOT AGREED,The original is not a conflict
NFCAT-015,"P-001,
P-005","Developers and App Creators,
Older Adults","
As a developer, I want ALFRED to enforce consent rules strictly without exceptions, so caregiver tasks are always done right.,
As an older adult, I want to block all data sharing with everyone, including doctors and family, to keep my privacy fully safe.","
As a developer, I want ALFRED to enforce consent rules strictly for caregiver tasks, so tasks happen only with user permission.,
As an older adult, I want to control data sharing so that my privacy is protected and my care needs are met.",NOT AGREED,The original is not a conflict
NFCAT-016,"P-001,
P-005","Developers and App Creators,
Older Adults","
As a developer, I want to enforce strict security and privacy controls in my apps to protect user data according to my conservative approach.,
As an older adult, I want to block all data sharing with everyone, including doctors and family, to keep my privacy fully safe.","
As a developer, I want to enforce strict privacy controls with authorized data sharing to protect user data securely.,
As an older adult, I want to control data sharing with doctors and family, so my privacy and care needs are protected.",NOT AGREED,The original is not a conflict
NFCAT-001,"P-006,
P-001","Caregivers and Medical Staff,
Developers and App Creators","
As an informal caregiver, I want to decide myself when to share each client's data to protect their privacy and keep control.,
As a developer, I want to update ALFRED’s consent module remotely without asking users, so I can keep control and make sure privacy rules are followed.","
As an informal caregiver, I want to control when to share each client's data, so that privacy is protected.,
As a developer, I want to update the consent module remotely only with user permission, so that privacy rules stay current and respected.",NOT AGREED,The original is not a conflict
NFCAT-002,"P-006,
P-001","Caregivers and Medical Staff,
Developers and App Creators","
As an informal caregiver, I want to decide myself when to share each client's data to protect their privacy and keep control.,
As a developer, I want ALFRED to enforce consent policies automatically to keep caregiver workflows secure without asking users.","
As an informal caregiver, I want to control data sharing times with minimal prompts, so that privacy is protected and workflow is smooth.,
As a developer, I want ALFRED to enforce consent policies automatically while allowing caregiver overrides with minimal prompts, so workflows remain secure and user-friendly.",NOT AGREED,The original is not a conflict
NFCAT-003,"P-006,
P-001","Caregivers and Medical Staff,
Developers and App Creators","
As an informal caregiver, I want to decide myself when to share each client's data to protect their privacy and keep control.,
As a developer, I want ALFRED to enforce consent rules strictly without exceptions, so caregiver tasks are always done right.","
As an informal caregiver, I want to request data sharing with user consent, so that privacy is respected and workflow is smooth.,
As a developer, I want ALFRED to enforce strict consent rules for caregiver data sharing, so that user privacy is fully protected.",AGREED,Partially agreed since the original conflict is still quite vague
NFCAT-004,"P-006,
P-001","Caregivers and Medical Staff,
Developers and App Creators","
As an informal caregiver, I want to communicate with clients only when they agree, so I respect their privacy and comfort.,
As a developer, I want to update ALFRED’s consent module remotely without asking users, so I can keep control and make sure privacy rules are followed.","
As an informal caregiver, I want to communicate with clients only with their clear consent, so I respect their privacy and comfort.,
As a developer, I want to update the consent module remotely only with explicit user permission and transparent notification, so privacy rules remain current and respected.",AGREED,
NFCAT-006,"P-006,
P-001","Caregivers and Medical Staff,
Developers and App Creators","
As an informal caregiver, I want to control ALFRED’s data use on shared devices at home, so I can protect my clients’ privacy and avoid mix-ups.,
As a developer, I want to update ALFRED’s consent module remotely without asking users, so I can keep control and make sure privacy rules are followed.","
As a caregiver, I want to control data use rules on shared devices so I can protect clients’ privacy and avoid mix-ups.,
As a developer, I want to update the consent module remotely with caregiver approval and notification to keep privacy rules current and respected.",AGREED,Partially agreed since the original conflict is still quite vague
