ID,Personas,User Group(s),User Stories,LLM Long-prompt identified,LLM Short-prompt verified,Human verified (by the team),LLM and Human Verification Match
FCWI-001,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to access patient health data without their permission to make fast clinical decisions during my busy work.,
As an informal caregiver, I want to choose when to log data for each client myself, so I can protect their privacy the way they want.",CONFLICT,CONFLICT,NO CONFLICT,NOT MATCHED
FCWI-002,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to access patient health data without their permission to make fast clinical decisions during my busy work.,
As an informal caregiver, I want to receive urgent alerts only when clients agree, so I respect their privacy and help them properly.",CONFLICT,CONFLICT,NO CONFLICT,NOT MATCHED
FCWI-005,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to block all non-emergency notifications during work hours so I can focus on patients and avoid distractions.,
As an informal caregiver, I want to control notifications for each client myself, so I can avoid overload and respect their wishes.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCWI-006,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to block all non-emergency notifications during work hours so I can focus on patients and avoid distractions.,
As an informal caregiver, I want to see notifications for each client clearly, so I can care for them without getting mixed up or tired.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCWI-007,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to block all non-emergency notifications during work hours so I can focus on patients and avoid distractions.,
As an informal caregiver, I want to choose which client notifications to see first so I can handle my work without feeling too busy.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCWI-008,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to block all non-emergency notifications during work hours so I can focus on patients and avoid distractions.,
As an informal caregiver, I want to manually choose which alerts to acknowledge for each client, so I can control my responses and not miss important messages.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCWI-009,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to block all non-emergency notifications during work hours so I can focus on patients and avoid distractions.,
As an informal caregiver, I want to control when I get notifications during care tasks so I can focus on each client without interruptions.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCWI-010,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to block all non-emergency notifications during work hours so I can focus on patients and avoid distractions.,
As an informal caregiver, I want to choose alert sounds for each client to quickly know who needs help without looking.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCWI-011,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to block all non-emergency notifications during work hours so I can focus on patients and avoid distractions.,
As an informal caregiver, I want to manually control urgent alerts for each client to respect their privacy and respond properly.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCWI-012,"P-004,
P-006",Caregivers and Medical Staff,"
As a registered nurse, I want to block all non-emergency notifications during work hours so I can focus on patients and avoid distractions.,
As an informal caregiver, I want to accept all notifications at night but choose which are urgent, so I can stay responsive without missing important alerts.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
