CB ID,CB Title,Pillar,P-002_Chosen,P-002_SubOption,P-005_Chosen,P-005_SubOption,P-007_Chosen,P-007_SubOption
CB-030,User-Centric Privacy Controls,General Requirements,✅,User-friendly privacy settings interface,✅,User-friendly privacy settings interface,✅,User-friendly privacy settings interface
CB-031,Adaptive System Configuration,General Requirements,✅,Guided onboarding process with voice assistance,✅,Guided onboarding process with voice assistance,✅,Guided onboarding process with voice assistance
CB-032,Interoperability with Health Devices,General Requirements,✅,Seamless integration with wearable health monitors,✅,Seamless integration with wearable health monitors,✅,Seamless integration with wearable health monitors
CB-033,Multi-Modal Data Access,General Requirements,✅,Voice-driven data retrieval processes,✅,Voice-driven data retrieval processes,✅,Voice-driven data retrieval processes
CB-034,Developer Integration Framework,General Requirements,❌,,❌,,❌,
CB-035,User Feedback Mechanism,General Requirements,✅,Simple voice feedback collection prompts,✅,In-app reporting for issues or suggestions,✅,Simple voice feedback collection prompts
CB-036,Accessibility Compliance Assurance,General Requirements,✅,User testing with diverse age groups and abilities,✅,Customizable accessibility profiles for individual needs,✅,User testing with diverse age groups and abilities
CB-001,Natural Language Understanding,Pillar 1 - User-Driven Interaction Assistant,✅,Adaptive learning from user interactions,✅,Adaptive learning from user interactions,✅,Adaptive learning from user interactions
CB-002,Task Automation Capabilities,Pillar 1 - User-Driven Interaction Assistant,✅,Voice-activated scheduling and reminders,✅,Voice-activated scheduling and reminders,✅,Voice-activated scheduling and reminders
CB-003,Conversational Engagement,Pillar 1 - User-Driven Interaction Assistant,✅,Proactive conversation starters to reduce isolation,✅,Proactive conversation starters to reduce isolation,✅,Proactive conversation starters to reduce isolation
CB-004,Multimodal Interaction Support,Pillar 1 - User-Driven Interaction Assistant,✅,Voice commands complemented by touch interactions,✅,Voice commands complemented by touch interactions,✅,Voice commands complemented by touch interactions
CB-005,Error Recovery Mechanisms,Pillar 1 - User-Driven Interaction Assistant,✅,Clarification prompts for misunderstood commands,✅,Clarification prompts for misunderstood commands,✅,Clarification prompts for misunderstood commands
CB-006,Personalized Voice Profiles,Pillar 1 - User-Driven Interaction Assistant,✅,Voice customization based on user preferences,✅,Multiple user profiles for shared devices,✅,Voice customization based on user preferences
CB-007,Accessibility Features,Pillar 1 - User-Driven Interaction Assistant,✅,Simplified command structures for cognitive ease,✅,Simplified command structures for cognitive ease,✅,Simplified command structures for cognitive ease
CB-008,Routine and Habit Formation Support,Pillar 1 - User-Driven Interaction Assistant,✅,Automated reminders for newly formed routines,✅,Automated reminders for newly formed routines,✅,Automated reminders for newly formed routines
CB-009,Social Engagement Recommendations,Pillar 2 - Personalized Social Inclusion,✅,Event suggestions based on interests and availability,✅,Event suggestions based on interests and availability,✅,Event suggestions based on interests and availability
CB-010,Family Connection Tools,Pillar 2 - Personalized Social Inclusion,✅,Scheduled video calls with family members,✅,Scheduled video calls with family members,✅,Scheduled video calls with family members
CB-011,Interest-Based Community Interaction,Pillar 2 - Personalized Social Inclusion,✅,Facilitating local meetups or clubs,✅,Facilitating local meetups or clubs,✅,Matching users with similar hobbies
CB-012,Memory Lane Features,Pillar 2 - Personalized Social Inclusion,✅,Voice playback of memorable messages from family,✅,Storytelling prompts about shared experiences,✅,Storytelling prompts about shared experiences
CB-013,Flexible Communication Modes,Pillar 2 - Personalized Social Inclusion,✅,Voice-to-text messaging for ease of use,✅,Voice-to-text messaging for ease of use,✅,Voice-to-text messaging for ease of use
CB-014,Social Skill Building Activities,Pillar 2 - Personalized Social Inclusion,✅,Conversation starters for practice,✅,Conversation starters for practice,❌,
CB-015,Crisis Support and Intervention,Pillar 2 - Personalized Social Inclusion,✅,Proactive check-ins during known high-risk times,✅,Proactive check-ins during known high-risk times,❌,
CB-016,Health Monitoring Integration,Pillar 3 - Effective & Personalized Care,✅,Automated alerts for abnormal health readings,✅,Automated alerts for abnormal health readings,✅,Automated alerts for abnormal health readings
CB-017,Personalized Health Recommendations,Pillar 3 - Effective & Personalized Care,✅,Medication adherence tips and strategies,✅,Medication adherence tips and strategies,✅,Medication adherence tips and strategies
CB-018,Caregiver Communication Hub,Pillar 3 - Effective & Personalized Care,✅,Shared health updates and alerts,✅,Shared health updates and alerts,❌,
CB-019,Emergency Response Coordination,Pillar 3 - Effective & Personalized Care,✅,Real-time health status sharing during emergencies,✅,Automated emergency contact notifications,✅,Real-time health status sharing during emergencies
CB-020,Long-term Health Tracking,Pillar 3 - Effective & Personalized Care,✅,Personalized summaries for healthcare consultations,✅,Data visualization for health trends,✅,Data visualization for health trends
CB-021,Medication Management System,Pillar 3 - Effective & Personalized Care,✅,Voice-guided medication instructions,✅,Voice-guided medication instructions,✅,Voice-guided medication instructions
CB-022,User Empowerment Tools,Pillar 3 - Effective & Personalized Care,✅,Goal-setting features for health improvement,✅,Goal-setting features for health improvement,✅,Goal-setting features for health improvement
CB-023,Cognitive Engagement Activities,Pillar 4 - Physical & Cognitive Impairments Prevention,✅,Personalized storytelling sessions,✅,Memory games for cognitive stimulation,✅,Memory games for cognitive stimulation
CB-024,Physical Activity Guidance,Pillar 4 - Physical & Cognitive Impairments Prevention,✅,Gentle stretching and mobility exercises,✅,Gentle stretching and mobility exercises,✅,Gentle stretching and mobility exercises
CB-025,Adaptive Learning Modules,Pillar 4 - Physical & Cognitive Impairments Prevention,✅,Customizable difficulty levels for activities,✅,Customizable difficulty levels for activities,✅,Progressive skill-building challenges
CB-026,Reminders for Daily Activities,Pillar 4 - Physical & Cognitive Impairments Prevention,✅,Check-ins for hydration and nutrition,✅,Check-ins for hydration and nutrition,✅,Cognitive activity reminders based on preferences
CB-027,Community Engagement Initiatives,Pillar 4 - Physical & Cognitive Impairments Prevention,❌,,✅,Volunteer opportunities based on interests,✅,Local activity and class suggestions
CB-028,Mindfulness and Relaxation Tools,Pillar 4 - Physical & Cognitive Impairments Prevention,✅,Calming music playlists,✅,Guided meditation sessions,✅,Guided meditation sessions
CB-029,Personalized Progress Tracking,Pillar 4 - Physical & Cognitive Impairments Prevention,✅,Activity logs for cognitive and physical exercises,✅,Goal-setting features for personal achievements,✅,Goal-setting features for personal achievements
